Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
COSMOSTEEL HOLDINGS LIMITED,24,2021.0,74883547.0337868,56247885.4573965,18635661.5763903,14363381.9758892,5888619.26019192,-13395047.5797653,71265.8849954605,-392329.7173976905,60520165.0578976,1733156.93509579,28918520.6114054,4094482.23793507,1412093.10269356,2699287.23168373,22874879.6838522,-477554.899454117,20268898.8689277,5.26,0.1537802371541501,2.30485959,119,18.13144475858685,0.0546779953690985,0.2488618970998002,1.3138151905885116,9.551965065502175,0.0360464659942702,0.0394951140065145,22975599.972825397,0.3349114935416505,-0.1788783799693886
COSMOSTEEL HOLDINGS LIMITED,24,2022.0,68198746.2413907,50799164.2760038,17399581.9653869,13886332.2382569,7729428.33971977,-8247559.45271254,-63458.8577151299,160390.51949977968,54312414.0031338,1589260.84321737,32135983.9569926,4275453.36979628,1686192.50500202,2589260.86479425,2865411.49836779,-2003486.79357767,24472587.18913,7.218,1.5047336,6.12106004,119,18.03793673908739,0.062691084593597,0.2551305254762421,1.7446456050401988,6.5721761097076845,0.0379663997873144,-0.0415904936014626,5035959.53232023,0.4505892002465208,-0.1209341799850711
CSC HOLDINGS LTD,42,2020.0,241618177.335024,130766036.671162,96182455.0073743,131990056.89317,117286968.622983,34749110.1716757,-2226.84091329575,2383462.057530876,109628120.441854,-8131680.73505163,132373073.530257,13880641.6928768,-5750445.51843405,19928741.6133881,16796318.7286854,-4412114.1295433,39724927.8818634,-2.557,0.3012150793650793,-0.18191667,123,19.30286925850859,0.0574486648561632,0.3980762377575972,3.296100414845933,1.114923833452523,0.082480307703651,0.0002737725862383,23591242.389187887,0.3623607494295519,0.1438182778917876
CSC HOLDINGS LTD,42,2021.0,258087040.505707,139436973.795772,97278705.6552768,146694990.655124,117893453.733861,44820452.2740841,-455149.993419647,-421161.5198850627,111392049.850583,4329097.09650278,198566573.427916,21119403.0225873,3452785.58319807,18400325.1398206,13488251.8342137,-10831978.7395,33882493.9526018,1.169,0.1537802371541501,2.30485959,123,19.36880745229187,0.0818305443822557,0.3769220859159168,-3.200539141228026,1.1827372036325654,0.0712950371462519,-0.1174899866488651,23849586.792480327,0.3041733588532617,0.1736640948195653
CSC HOLDINGS LTD,42,2022.0,288334587.271214,146611905.524969,125056517.583132,194623208.879828,140194422.525644,86248680.6292534,214016.577243805,4464204.942226395,93711378.3913851,-20106254.5684576,199396381.415963,3126601.33445263,-15428033.0489874,19281085.0188732,8067822.09849358,-7177091.13264084,21204318.4220759,-3.775,1.5047336,6.12106004,123,19.47963212513609,0.0108436568919554,0.4337201400867702,-1308.5181201664338,1.0457755942334377,0.0668705242799642,-0.0107587983482971,19757147.6541197,0.2262726126331871,0.2991270712456218
DARCO WATER TECHNOLOGIES LTD,36,2020.0,69839650.3353119,62228274.3530273,5073746.40655518,36472279.624939,34779518.0778503,-8944104.24232483,-405415.634155273,676953.3443450951,33367370.7103729,889494.003295898,59059073.7800598,2072460.5178833,1161031.71348572,925799.880981445,-358520.542144775,-270024.965286255,8587560.93340626,5.969,0.3012150793650793,-0.18191667,127,18.06171246282948,0.0296745546109275,0.0726485081496724,-18.87839614671958,1.7892218694271682,0.0132560784101369,-0.837499999999999,1155406.1933755917,0.2573640281083534,-0.1280662803920506
DARCO WATER TECHNOLOGIES LTD,36,2021.0,61885775.6637335,53966118.6544895,4608271.22938633,34430718.0953026,33611009.5510483,-13330621.1723089,141303.548693657,1945698.0788707728,27455057.5684309,-4773988.4802103,40358069.0488815,-2008581.85708523,-2686986.85264587,699119.651913643,3478582.64899254,-251535.112857819,10412613.270564,-4.784,0.1537802371541501,2.30485959,127,17.940800915831552,-0.0324562766733213,0.074464142688073,10.46682029290645,1.60560838175735,0.0112969360796643,-0.0305014372404982,5735162.428562766,0.3792602963811267,-0.2154068690153132
DARCO WATER TECHNOLOGIES LTD,36,2022.0,64680944.3646669,50748920.3243852,4082998.55768681,37164955.1775455,33958053.5781384,-11744756.5069199,-178491.740226746,972036.2686514852,27515989.1871214,604640.770018101,57790419.4763303,1978283.45417976,1398185.29844284,581585.586905479,-2129257.71778822,-168079.722046852,8025156.14468067,4.039,1.5047336,6.12106004,127,17.98497719313349,0.0305852592848108,0.0631252155915834,-3.519810257979577,1.4944590451160742,0.0089916063010233,-0.4188481675392682,-582006.1171835003,0.2916542847180929,-0.1815798551224567
DELFI LIMITED,10,2020.0,382488000.0,244852000.0,107180000.0,156739000.0,139717000.0,-14229000.0,-10170000.0,22664000.0,225749000.0,17477000.0,385120000.0,43690000.0,29971000.0,13771000.0,42405000.0,-4482000.0,323583617.44877905,9.489,0.3012150793650793,-0.18191667,132,19.76220783818972,0.1142258057769132,0.2802179414779026,2.0022837799687427,1.7524853811633516,0.0360037439083056,-1.3918160667852744,101095119.33762148,1.4333778552674832,-0.0372011670954382
DELFI LIMITED,10,2021.0,363896000.0,238643000.0,96004000.0,124592000.0,111030000.0,-73693000.0,-14786000.0,30613000.0,239304000.0,29275000.0,405128000.0,58057000.0,45102000.0,13587000.0,77185000.0,-3135000.0,345886744.711752,42.072,0.1537802371541501,2.30485959,132,19.7123786704912,0.1595428364147998,0.2638226306417218,9.71759492792918,2.149356029901828,0.0373375909600545,-1.020498309062047,142173514.73531646,1.445386390163775,-0.2025111570338778
