Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,PER,SOLV,NEMP,SORA,CPI
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2016.0,158902716.825843,55603954.7610283,18931756.8429708,74519808.9559078,25231279.7455788,31811518.9579725,-1523888.53883743,,84382907.869935,19567862.7666235,107126460.318446,34024752.7205944,30948627.4441481,-3081656.63230419,13062988.2777929,-4903546.96798325,393.793442445075,20.124,13.147,1135.0,0.19813690476190476,-0.53226874
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2017.0,164619928.415358,45888073.4506845,15935956.6390514,79428399.0905285,58366002.3157597,40075564.1958117,-552895.397007465,,85191529.3248296,17857997.6064563,92392636.4915371,21422265.0913596,17611102.5035977,-3820888.75848055,12539278.5573006,-4420170.50814629,365.743433820072,20.481,7.254,,0.5612424,0.57626031
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2018.0,156910904.28257,37473622.8876114,14959701.2063265,75077667.8164005,10676289.6741629,46530627.6684999,-556858.153343201,,81833236.4661694,10266705.848217,88516999.7224808,11579718.7571526,9159583.91439915,-2422332.96704292,9590416.27514362,-2012749.14109707,287.820967711736,28.034,4.743,,1.0422362549800797,0.438620118
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2019.0,226970017.807364,92795429.9782515,56118617.8559661,135573043.922663,52620993.0614829,94514551.1633158,-1440766.07090235,,91396973.8847017,13349168.9949036,94984414.5960212,27553444.9005127,16619656.0162306,-10940469.407022,20749703.6300898,-5086104.64596748,279.91784962813,20.969,5.079,812.0,1.48333,0.565260569
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2020.0,207851149.749756,65259815.1397705,59303382.0819855,113535286.874771,23066334.2895508,60433402.5249481,-1915891.42036438,,94315862.8749847,14901293.6725616,104091976.81427,28185463.0432129,19431208.2862854,-8721730.74150085,17964602.1022797,-4833219.96688843,279.884422156513,18.783,6.341,350.0,0.30121507936507935,-0.18191667
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2021.0,204321232.365251,70399499.4248152,62380707.988739,127938896.300197,33508915.8875942,66820302.7306795,-5397647.5982666,,76382336.0650539,22542724.7761488,152104022.554278,47639270.7569599,37598580.8990002,-10047348.1403589,37577866.2426472,-5769771.60346508,420.480148525049,18.653,16.82,620.0,0.15378023715415018,2.30485959
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2022.0,198878471.822977,60838165.940702,66575931.6734076,122835040.761709,24300163.0007029,34579799.8065948,-1800535.4295373,,76043431.0612679,8410679.54260111,134771675.889373,30467796.3411212,17829093.7018991,-12661014.1067505,24951657.8525305,-6923992.08962917,221.723573016194,26.362,6.125,620.0,1.5047336,6.12106004
Q & M DENTAL GROUP (SINGAPORE) LIMITED,8623.0,2023.0,,,,,,,,,,,,,,,,,183.029690533126,20.955,3.53,,3.617463453815261,
QAF LTD,1071.0,,,,,,,,,,,,,,,,,,,,,,,
QAF LTD,1071.0,2003.0,,,,,,,,,,,,,,,,,,,,4032.0,0.4880463576158941,
QAF LTD,1071.0,2004.0,381334314.640999,160819562.59948,173508386.267304,192559065.764725,137165504.451454,79553189.3011332,-2802668.6399579,,188775248.876274,6341657.51880407,378436163.077295,33525523.4953165,15981148.326993,-16979434.536159,11484269.8605657,-17193659.0445638,,,3.314,4143.0,0.6823102310231023,1.662727199
QAF LTD,1071.0,2005.0,574033778.53334,278297083.824873,237938352.301717,377658940.851688,251279297.098517,185422427.95229,-2952770.14374733,,196374837.681651,14366662.8748178,530950013.920665,48922606.1850786,29668309.5395565,-19494652.3755789,3262228.14619541,-19022954.2553425,,,3.547,,1.8628145695364235,0.425106277
QAF LTD,1071.0,2006.0,608219011.202812,309780952.574492,243815505.372941,386064521.924317,290484343.166411,215327240.525723,-6211212.27121353,,222154489.278495,13993480.5430174,641105580.961227,59968055.0001264,28063884.1599226,-22858538.8633609,-8358539.43550587,-23012385.0111365,,,2.876,,2.9766791044776117,0.962901778
QAF LTD,1071.0,2007.0,733005797.525883,457388268.225431,245077008.802593,531112245.129168,431933786.924422,285324717.344642,-10873577.1151185,,201893552.396715,3159866.64426327,745503715.399504,63166108.9065671,37343878.5231113,-24666249.3054271,-37674158.8311195,-36806132.2233081,,,2.097,,2.16956,2.104880036
QAF LTD,1071.0,2008.0,370815739.431262,205743473.292947,143864650.312066,227434691.131353,168674267.332315,76914954.5083046,-2891884.44626331,,143381048.299909,-24481657.0349932,579060602.442265,21018621.9364405,5934547.10608721,-18907032.1161151,71493887.124896,-28078099.5851755,,,0.316,,0.5572222222222222,6.62778177
QAF LTD,1071.0,2009.0,438108169.961751,219457747.51848,190223744.111061,228587717.676163,152347158.32305,57290153.0202031,-948411.010682583,,209520452.285588,40149636.9706392,607803910.461426,71966653.0855894,52966367.8866029,-20190964.9877548,63699587.3110294,-26772125.0889301,176.833331999077,4.404,12.03,,0.1634920634920635,0.596720257
QAF LTD,1071.0,2010.0,486028733.429015,248041928.895831,203104816.473186,221789599.34026,147845498.938859,35546584.3424797,-10940993.940115,,264239134.088755,37839286.2375379,662592400.466859,83622671.9638109,60378882.8225136,-24176242.5703406,78793479.3504477,-29281056.3055277,247.009231683569,6.528,11.247,,0.06964285714285715,2.823661349
