Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
HIAP HOE LIMITED,41,2015.0,957633484.850645,267637736.468434,504051907.277465,479005581.80356,228131406.91936,311141519.822001,2515736.58573627,11239832.95488358,478627903.047085,-4861729.91013527,76228869.6122169,24875874.9489784,8893839.63048458,16032251.0333061,10640780.6950808,-8624372.20311165,230801027.513489,0.779,0.2525032258064516,-0.52261817,217,20.679975679068125,0.0259764046918828,0.5263515898841802,-7.274679367365087,1.1731735672985997,0.0167415313759695,-1.0723545372324343,42558071.71998008,0.4822138994491175,0.3249066837617185
HIAP HOE LIMITED,41,2016.0,875130330.079436,231957407.898903,502735945.466638,378128326.378942,259090782.6401,193282167.740822,-6426052.66785622,16076194.381356215,497002003.700495,31414644.1751719,57198368.0870533,55356426.5863895,41064785.8886719,14337274.3835449,-49285763.5324001,-21354490.7087088,232170638.847614,5.444,0.1981369047619047,-0.53226874,217,20.58988338189235,0.0632550657698776,0.5744697997394337,-14.489179308199306,0.8952746428695317,0.0163830162099895,-0.2571594587864195,-7720932.995880239,0.4671422592242212,0.2208610090376797
HIAP HOE LIMITED,41,2017.0,1128924116.9858,251981890.144408,596394573.296249,537146482.113004,402536279.366612,280845424.002528,-10831961.5126848,16756695.814311504,591777634.872794,60204248.5815883,186392335.65259,83688461.8653059,66128982.883215,17687415.5353904,94596736.4097834,-7644022.01789618,309609257.035592,10.488,0.5612424,0.57626031,217,20.84453090726499,0.0741311666622483,0.5282857938127924,0.2702250681468862,0.6259855398397871,0.0156674972828247,-0.2193935536664083,122673765.2843999,0.523185126964361,0.248772632081223
HIAP HOE LIMITED,41,2018.0,1139592625.82254,265491649.811625,561816389.032245,581518177.039146,295301878.717899,255589832.595468,-4677608.48808289,32121922.95074459,558074448.783398,-7272127.8578043,137371777.473092,40509232.5314283,20172186.6048574,20331916.9698954,53338218.5931206,-807444.322347641,301479366.357282,1.963,1.0422362549800797,0.438620118,217,20.853936689719895,0.0355471171131783,0.4929975644820751,2.642455614049791,0.8990516787915472,0.0178413904312693,0.3914403090318231,73693770.41967696,0.5402135270921412,0.2242817536757815
HIAP HOE LIMITED,41,2019.0,1212563125.50932,254631835.632324,605141049.066901,638308359.909832,485996895.12223,319152324.254155,-1388064.16928768,-1324970.3434109204,574254765.599489,16404394.7279453,98144301.8519878,37842192.2002435,13691360.2152467,24160481.6289544,30411966.35288,-519596.213102341,280844083.376353,0.953,1.48333,0.565260569,217,20.916002241696447,0.0312084306409601,0.4990594191232065,1.12508301182491,0.5239371654180696,0.0199251330678608,-0.092436974789916,29484115.97234016,0.4890583416981623,0.2632047087198859
HIAP TONG CORPORATION LTD,28,2015.0,108453848.175287,14488934.3752861,93183328.4556866,50595808.8421822,21819997.6664186,35658351.0590792,-447783.270180225,2532750.992655755,57858039.3331051,1688994.08686161,29658055.2386642,11730441.4034486,3773961.80933714,8320627.31134892,10341203.0594349,-653541.533172131,15960749.751079,2.04,0.2525032258064516,-0.52261817,218,18.501835278012774,0.1081606748014089,0.8591979908825399,0.6148581629530462,0.6640208948136072,0.0767204433161359,-0.3607632677400116,14441219.109745031,0.2758605361510515,0.3287882510304927
HIAP TONG CORPORATION LTD,28,2016.0,108860352.686346,13942624.2138743,88371727.5716066,49508513.6986375,21829303.3320308,31005866.5621281,-301902.992367744,1620403.501689434,59351838.9877081,3421805.71681261,29728144.4190741,12099012.8126144,4740306.2261343,7957504.70167398,9195163.88839483,-2166261.28172874,23141260.4159274,3.872,0.1981369047619047,-0.53226874,218,18.50557645078086,0.1111425097755717,0.8117898334045246,108.34930475869162,0.638711368924718,0.0730982814707715,-0.0967667966062828,13138629.927881096,0.3898996359779181,0.2848223967403797
HIAP TONG CORPORATION LTD,28,2017.0,106687506.118655,12159030.4203629,86485477.9595733,42608066.409409,15647633.0414414,26494625.6316304,-298086.456477642,1530075.493991372,64079439.7092462,895784.10834074,32964092.8174853,10649538.9016271,2127773.14585447,8642220.1294899,12208584.4348669,-1199969.52044964,25364833.2249782,1.965,0.5612424,0.57626031,218,18.48541461587012,0.0998199253976652,0.8106429806634196,-5.063159567565206,0.7770523751522521,0.0810049877806521,-0.4987244897959185,15701715.569397995,0.3958341917480629,0.2483385974189309
HIAP TONG CORPORATION LTD,28,2018.0,113947934.298635,16724685.1567626,90143080.7992816,50308283.6617827,19065565.8150315,32586474.796772,482336.468338966,1405708.423018464,63639650.6368518,1641714.03443813,39988938.3024573,11795117.9482341,3529758.92579556,8496939.52864408,8586916.66799784,-4386754.30226326,14086619.7217892,3.02,1.0422362549800797,0.438620118,218,18.551252185353302,0.1035132231297974,0.7910900829762688,3.0918800525128427,0.8772194499245691,0.0745686139985239,0.2270833333333335,14060166.438885788,0.2213497337088155,0.2859768805581792
HIAP TONG CORPORATION LTD,28,2019.0,112997121.600389,17791113.8241291,88923983.5238457,58127324.7418404,23656208.1987858,34219133.6708069,-259001.893758774,2931845.2851772336,54869796.8585491,-5698743.56484413,41242366.5947914,12407524.3251324,-3025900.17342567,15465711.997509,12676352.8490067,-482908.679962158,14487523.1966453,-1.678,1.48333,0.565260569,218,18.542872903789256,0.1098038972090921,0.7869579531266535,-59.25318465430084,0.7520695487048623,0.1368681943262505,0.0434731385485391,15963650.2978607,0.2640345695828477,0.3028319056818266
