,Company,NACE,Consolidation code,Year,TE,TL,CA,CFO,CFF,CFI,CL,DA,EBIDTA,TDA,FA,LTD,ND,NI,NP,EBIT,DeltaLTB,DeltaSTB,LB,TA,ITE,IA
10034,SMI VANTAGE LIMITED,2612.0,C1,2018,24876000,25031000,35789000,744000,-671000,114000,22537000,4381000,437000,-638000,12998000,2494000,14978000,-2573000,-4922000,-373000,-171000,n.a.,11049000,49907000,-16000,676000
10035,SMI VANTAGE LIMITED,2612.0,C1,2019,14753000,26752000,14237000,-3773000,-2730000,6705000,25090000,3206000,-3662000,-883000,11626000,1662000,15079000,-10458000,-10335000,-4567000,-1338000,n.a.,12538000,41505000,1000,492000
10036,SMI VANTAGE LIMITED,2612.0,C1,2020,9694000,25251000,8851000,-894000,3757000,133000,20108000,2876000,-1257000,-2870000,8488000,5143000,15359000,-5146000,-5375000,-4134000,-88000,n.a.,8824000,34945000,30000,142000
10037,SMI VANTAGE LIMITED,2612.0,C1,2021,11935000,17033000,5688000,-812000,3467000,-126000,6713000,2320000,-1725000,-2320000,5822000,10320000,10231000,-4049000,-4125000,-4045000,-385000,3160000,1500000,28968000,-2000,65000
10038,SMI VANTAGE LIMITED,2612.0,C1,2022,10320000,14823000,5926000,-658000,-971000,-210000,5313000,1714000,-744000,-2329000,4792000,7957000,8917000,-3292000,-3286000,-3073000,-269000,-1517000,1500000,25143000,3000,5000
10039,SMI VANTAGE LIMITED,2612.0,C1,2023,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10040,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2004,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10041,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10042,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2006,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10043,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2007,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10044,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2008,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10045,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2009,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10046,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2010,20427018.9160109,67608696.5870857,73709628.3484697,-17891304.595232,5840062.19255924,13070652.3546576,64913044.3758965,691770.195901394,4481366.52159691,-691770.195901394,4456521.80075645,2333074.56642389,7670807.5594902,2866459.66696739,2866459.66696739,3789596.32569551,4122670.86446285,-1447204.98895645,7678571.53475285,88035715.5030966,-709627.33900547,2329.19257879257
10047,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2011,27248403.9312601,51685244.9378371,65033441.683352,6611055.39768934,-7311447.47436047,-51510.7235312462,49923116.903007,720381.312668324,9145844.28548813,-720381.312668324,3959406.36098385,1240870.26536465,3030675.70388317,7020834.73563194,7020834.73563194,8417005.98835945,-1507649.68425035,-558160.974383354,2161912.75477409,78933648.8690972,-858768.331110477,71499.9595284462
10048,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2012,12668573.4689236,45737636.859417,46062933.1330061,8613812.63154745,-2075194.06694174,-5375561.78742647,45044543.2915688,795259.48292017,21889660.2996588,-795259.48292017,3861054.26239967,286064.5622015,-1630568.00454855,18003268.8903213,18003268.8903213,21060073.0692744,-1642827.91435719,-360441.34837389,817327.320575714,58406210.3283405,-2988148.68402481,33510.4201436043
10049,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2013,57801312.7965927,69863274.5651007,106376355.007052,34645539.1197801,24547538.4962559,-3324903.23418379,69189126.1318326,1010037.16027737,20409389.3795013,-1010037.16027737,8991543.64043474,0,-59883032.5776339,18997076.0732293,18997076.0732293,19415949.0739703,n.a.,-1258199.655056,n.a.,127664587.361693,-2736900.3803134,58484.1548204422
10050,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2014,63928706.5734267,63408764.0925646,94522061.6009235,-8456065.99515676,-7538030.72690964,-2704911.82911396,63059108.4504128,1604480.43584824,17995913.1149054,0,32815409.0650678,n.a.,-38785287.215054,15807916.4450765,15806402.7842879,17995913.1149054,n.a.,n.a.,n.a.,127337470.665991,-2187996.66982889,n.a.
10051,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2015,64271164.1145945,86197042.6342487,102534831.537962,1087771.3997364,-9424287.32216358,-23191173.0802059,85783293.4347391,2033382.81810284,16941792.0086384,-2033382.81810284,30864983.0198288,n.a.,-4753518.58103275,13128226.7372608,13128226.7372608,14824244.8234558,n.a.,n.a.,n.a.,150468206.748843,-1851616.07575417,158427.043914795
10052,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2016,67822028.4315348,81055797.3214388,95714581.7642212,27922284.3704224,-3635483.63757133,-6279471.73762321,80091958.5632086,2430339.48004246,12177279.9210548,-2430339.48004246,33885777.4046659,n.a.,-22699301.6016483,8211297.77097702,8211297.77097702,9536748.91841412,-8848095.1141119,8850169.37255859,n.a.,148877825.752974,-1752056.96797371,123764.087319374
10053,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2017,61294327.8690577,81688611.5321517,74354330.6432962,22000598.1656313,2159958.06652308,-27617835.8391523,80751158.3082676,1863683.94309282,-4133622.5554347,-1863683.94309282,63194671.9940901,n.a.,-12439772.3491788,-4469549.52871799,-4467305.02778292,-6114020.54715157,8412389.5046711,n.a.,8412389.5046711,142982939.401209,1212778.6719203,340415.975153446
