Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
STAMFORD TYRES CORPORATION LTD,45,2018,201401273.472309,133783051.720619,52239765.4557228,106340839.306831,79092009.5834732,52180844.1672325,-2291131.6409111,7202749.81737137,95060434.1654778,3922798.09141159,183137184.842587,18371355.5908203,8834416.26787186,9623810.45341492,12292642.6615715,-3721861.38963699,60491709.8888465,2.859,1.0422362549800797,0.438620118,489,19.120809861328592,0.0912176734242259,0.2593815051666261,-2.2385119719406594,1.6914863135374656,0.0477842582000263,-1.4041666666666637,33331115.07047214,0.6363500274314412,0.2590889484837688
STAMFORD TYRES CORPORATION LTD,45,2019,182878848.368704,121809834.305346,46586635.7042193,92110863.2215858,69293683.3854914,54474300.632596,-1292951.49761438,6223935.176193714,90767985.1471186,348017.609238625,168410420.08251,10543318.2883263,5279001.28781796,5341409.50888395,-1485315.66137075,-1911894.20771599,45942326.829053104,1.703,1.48333,0.565260569,489,19.02433446079445,0.0576519284891263,0.2547404258052603,5.004741186080615,1.7578778952722025,0.0292073662784395,1.3682983682983711,-1865686.62344174,0.506151224515878,0.2978709736993191
STAMFORD TYRES CORPORATION LTD,45,2020,183209533.830643,121773466.731548,47520557.6119423,100274316.453695,77575846.5929031,57593566.2367344,-652112.302780151,6508364.30883407,82935217.3769474,-2844485.5120182,138719171.973467,8102495.36204338,3011766.49403572,5102069.95153427,5223277.78172493,-1251063.27652931,31881193.3606984,0.961,0.3012150793650793,-0.18191667,489,19.02614104941052,0.0442252932619393,0.259378191835092,2.436044598043449,1.5697342933372285,0.0278482775697173,0.1864990877762012,11768901.36057557,0.3844108012136237,0.3143590021356274
STAMFORD TYRES CORPORATION LTD,45,2021,192361459.04249,129508408.433974,48976099.5222926,104195884.561837,76669683.5156083,44541205.4017186,-1508708.45550299,7794616.69814587,88165574.4806528,1872879.46200371,142969164.084196,13141823.2780695,8158787.70464659,5035813.98016214,21474779.7249556,-2867375.44041872,36682409.856371,2.82,0.1537802371541501,2.30485959,489,19.07488675930281,0.0683183801135894,0.2546045333929103,55.78057983868883,1.6891736406817028,0.0261789134124304,-4.142857142857162,64428755.32726751,0.4160627327894364,0.2315495298456852
STAMFORD TYRES CORPORATION LTD,45,2022,186442087.748945,125785674.538851,47037117.8407073,102424900.138021,83374495.5176711,50828279.0649533,-2343298.69955778,6771375.00947714,84017187.6109242,2806181.43188953,137440787.331104,11712882.8680515,7234257.74180889,4527007.56472349,-1086077.42500305,-5251299.89004135,30505540.6395376,2.885,1.5047336,6.12106004,489,19.043631227373,0.0628231694327708,0.2522880879989151,2.930489055541157,1.5086828862693498,0.0242810387900148,-5.062402496099872,45216023.22452081,0.3630869052747388,0.2726223444429377
STARHUB LIMITED,61,2015,1350449096.65585,427045754.981041,629464594.125748,1217766447.3772,726996243.035793,362189683.878422,-48023197.6866722,109838035.35699823,132682649.278641,263314234.149456,1728764390.36131,517080409.84869,325129071.819782,191951338.028908,385105024.158955,-232548268.032074,4521786130.79583,25.826,0.2525032258064516,-0.52261817,491,21.023703038265804,0.3828951503089963,0.4661150099507686,3.0913554252157573,0.5874112267730328,0.1421388917984704,-0.2230617608409986,751991993.1220751,34.07970940721741,0.2681994343772906
STARHUB LIMITED,61,2016,1518564608.82425,512341836.333275,634723084.688187,1383806951.7374,591509367.04874,481850237.166882,-47638802.3257256,122588674.19958162,134757657.086849,236050611.233711,1657125073.06337,494226645.898819,311000483.107567,183226162.791252,380764708.864689,-253543524.134159,3353223004.00714,17.168,0.1981369047619047,-0.53226874,491,21.141031389338327,0.3254564494832225,0.4179756863816429,1.0486422423794115,0.8661601402688495,0.1206574693803216,-0.2528440366972483,787892722.4364157,24.883357847680934,0.3173063789099859
STARHUB LIMITED,61,2017,1972168154.95491,773754289.019108,650980087.870359,1518853782.76706,758566499.358416,473065980.416536,-44740385.3058815,130181054.23450448,453314372.187853,204174768.394232,1803606134.73058,499401458.054781,289615437.322855,209786020.731926,386951961.20739,-221382608.896494,3682871388.26234,12.946,0.5612424,0.57626031,491,21.402399360766776,0.2532245827010623,0.3300834597875567,-0.7778984930889498,1.0200216983923462,0.1063732928679818,-0.2806194274988264,775046957.2488688,8.124320811818784,0.2398710166919573
STARHUB LIMITED,61,2018,1944240934.07393,682004696.22612,654454871.797562,1513408573.32945,653648892.891407,631960733.234882,-32898593.5330391,85507034.8620421,430832360.744476,147787223.064899,1730656523.94295,415665303.146839,200395664.393902,215269638.752937,306491796.767712,-199882768.726349,2215424563.90352,9.056,1.0422362549800797,0.438620118,491,21.388137472585896,0.2137931034482752,0.3366120218579228,7.616547082056438,1.0433807869072973,0.1107216883361593,-0.2863520408163277,616366714.2930017,5.142196282738088,0.3250423968343687
STARHUB LIMITED,61,2019,2029320124.28641,699079590.713978,720234579.390287,1598723319.68546,873144322.103262,806339094.70439,-29691212.1772766,94492282.7541826,430596804.600954,138286820.715666,1729958477.50902,471199537.25338,203087891.292572,268111645.960808,332615804.415941,-170353329.867125,1821663455.56671,7.144,1.48333,0.565260569,491,21.43096665975921,0.232195764292769,0.3549142250996748,-33.30810376162613,0.8006460936835844,0.1321189509491937,-0.2734107997265886,623296627.6330606,4.23055497881573,0.3973444529792612
